metric,value
schema_version,1
functions_total_logical,3836
functions_verified_safe,0
current_verified_safe_function_pct,0.0
dsl_function_count,0
dsl_function_pct,0.0
dsl_safe_function_count,0
dsl_explicit_unsafe_function_count,0
dsl_unverified_or_unknown_function_count,0
cpp_verified_safe_function_count,0
cpp_explicit_unsafe_function_count,0
cpp_unverified_function_count,3836
unknown_function_count,0
rust_dsl_nonblank_loc,0
handwritten_cpp_nonblank_loc,94961
generated_cpp_nonblank_loc,0
authored_nonblank_loc,94961
dsl_authored_loc_pct,0.0
boundary_functions,102
boundary_function_pct,2.659019812304484
boundary_files,45
boundary_file_pct,20.833333333333332
potential_safe_envelope_functions,3734
direct_safe_envelope_functions,3574
potential_safe_envelope_pct,97.34098018769552
direct_safe_envelope_pct,93.16996871741398
