metric,value
schema_version,1
functions_total_logical,669
functions_verified_safe,0
current_verified_safe_function_pct,0.0
dsl_function_count,0
dsl_function_pct,0.0
dsl_safe_function_count,0
dsl_explicit_unsafe_function_count,0
dsl_unverified_or_unknown_function_count,0
cpp_verified_safe_function_count,0
cpp_explicit_unsafe_function_count,0
cpp_unverified_function_count,669
unknown_function_count,0
rust_dsl_nonblank_loc,0
handwritten_cpp_nonblank_loc,20764
generated_cpp_nonblank_loc,0
authored_nonblank_loc,20764
dsl_authored_loc_pct,0.0
boundary_functions,48
boundary_function_pct,7.174887892376682
boundary_files,23
boundary_file_pct,17.424242424242426
potential_safe_envelope_functions,621
direct_safe_envelope_functions,615
potential_safe_envelope_pct,92.82511210762331
direct_safe_envelope_pct,91.92825112107623
