metric,value
schema_version,1
functions_total_logical,1630
functions_verified_safe,0
current_verified_safe_function_pct,0.0
dsl_function_count,0
dsl_function_pct,0.0
dsl_safe_function_count,0
dsl_explicit_unsafe_function_count,0
dsl_unverified_or_unknown_function_count,0
cpp_verified_safe_function_count,0
cpp_explicit_unsafe_function_count,0
cpp_unverified_function_count,1630
unknown_function_count,0
rust_dsl_nonblank_loc,0
handwritten_cpp_nonblank_loc,59160
generated_cpp_nonblank_loc,0
authored_nonblank_loc,59160
dsl_authored_loc_pct,0.0
boundary_functions,472
boundary_function_pct,28.957055214723926
boundary_files,169
boundary_file_pct,36.58008658008658
potential_safe_envelope_functions,1158
direct_safe_envelope_functions,1148
potential_safe_envelope_pct,71.04294478527608
direct_safe_envelope_pct,70.42944785276073
