metric,value
schema_version,1
functions_total_logical,918
functions_verified_safe,0
current_verified_safe_function_pct,0.0
dsl_function_count,0
dsl_function_pct,0.0
dsl_safe_function_count,0
dsl_explicit_unsafe_function_count,0
dsl_unverified_or_unknown_function_count,0
cpp_verified_safe_function_count,0
cpp_explicit_unsafe_function_count,0
cpp_unverified_function_count,918
unknown_function_count,0
rust_dsl_nonblank_loc,0
handwritten_cpp_nonblank_loc,26148
generated_cpp_nonblank_loc,0
authored_nonblank_loc,26148
dsl_authored_loc_pct,0.0
boundary_functions,86
boundary_function_pct,9.368191721132897
boundary_files,31
boundary_file_pct,34.44444444444444
potential_safe_envelope_functions,832
direct_safe_envelope_functions,829
potential_safe_envelope_pct,90.6318082788671
direct_safe_envelope_pct,90.30501089324619
