metric,value
schema_version,1
functions_total_logical,686
functions_verified_safe,396
current_verified_safe_function_pct,57.72594752186589
dsl_function_count,456
dsl_function_pct,66.47230320699708
rust_dsl_nonblank_loc,2738
handwritten_cpp_nonblank_loc,9463
generated_cpp_nonblank_loc,2664
authored_nonblank_loc,12201
dsl_authored_loc_pct,22.440783542332596
potential_safe_envelope_functions,652
direct_safe_envelope_functions,646
potential_safe_envelope_pct,95.04373177842565
direct_safe_envelope_pct,94.16909620991254
