metric,value
schema_version,1
functions_total_logical,686
functions_verified_safe,396
current_verified_safe_function_pct,57.72594752186589
dsl_function_count,456
dsl_function_pct,66.47230320699708
dsl_safe_function_count,336
dsl_explicit_unsafe_function_count,60
cpp_verified_safe_function_count,0
cpp_explicit_unsafe_function_count,0
cpp_unverified_function_count,230
unknown_function_count,0
rust_dsl_nonblank_loc,2738
handwritten_cpp_nonblank_loc,9463
generated_cpp_nonblank_loc,2664
authored_nonblank_loc,12201
dsl_authored_loc_pct,22.440783542332596
boundary_functions,34
boundary_function_pct,4.956268221574344
boundary_files,7
boundary_file_pct,21.21212121212121
potential_safe_envelope_functions,652
direct_safe_envelope_functions,646
potential_safe_envelope_pct,95.04373177842565
direct_safe_envelope_pct,94.16909620991254
